Time(s),Force(N),dx(m),dr(m)
108,328.722466272334,0.00000082437224,0.00000025743916
109,315.520366890767,0.00000103495348,0.000000228553264
110,320.591161618108,0.0000010258171,0.000000218541346
111,321.842446362135,0.00000087921846,0.000000216073228
112,321.438681284939,0.00000072293734,0.000000250524772
113,329.183257550805,0.00000074414126,0.00000026218134
114,323.27192686459,0.00000089370154,0.000000253280926
115,325.084310284804,0.00000064330834,0.00000027341576
116,326.442752687856,0.00000086100412,0.00000026265632
117,317.846386462396,0.00000117715792,0.000000235279438
118,321.759575993201,0.00000093778578,0.000000235182918
119,322.319073309602,0.00000081290922,0.0000002704592
120,319.015201177435,0.00000087228934,0.000000245163086
121,331.248433406153,0.00000102881176,0.000000253871222
122,323.704872275667,0.00000086862158,0.0000002838704
123,325.025326866014,0.00000076119482,0.00000027927554
124,313.062413065645,0.00000077284072,0.000000250970796
125,324.14804859649,0.00000080174592,0.0000002561209
126,322.30773034445,0.00000084210906,0.00000028457906
127,323.790456059795,0.00000082286348,0.0000002716403
128,325.674277919359,0.0000009221216,0.00000027796236
129,326.176660070054,0.00000126681738,0.0000002752471
130,327.864048462515,0.00000101811328,0.00000027424888
131,325.19097863945,0.00000115353338,0.00000026315924
132,322.482456490008,0.00000086622128,0.0000002750439
133,325.555732812966,0.00000073001378,0.00000027627834
134,326.110337085577,0.00000094001082,0.0000002824607
135,323.111390546026,0.0000009958959,0.00000029238194
136,325.710842301144,0.00000123905518,0.00000026956004
137,323.695175152518,0.00000084308696,0.00000027541728
138,324.290614099676,0.00000065972182,0.0000002844673
139,321.461945484055,0.0000010436352,0.00000025805638
140,327.416157026766,0.00000110464346,0.00000026637996
141,321.765759021264,0.00000093734382,0.00000027630374
142,325.219714151168,0.00000131223766,0.00000028412186
143,320.667626547898,0.00000096135444,0.0000002890774
144,327.952923930647,0.00000071355458,0.00000029832554
145,327.076535305449,0.00000086293452,0.0000002851912
146,322.283131678846,0.00000067619118,0.00000029051504
147,322.570753689329,0.00000074436478,0.00000030423104
148,329.642180576192,0.00000106320082,0.00000030414976
149,330.800675417053,0.00000105218992,0.00000032045656
150,324.556662235261,0.00000107821984,0.00000028236418
151,319.634349145871,0.00000073417938,0.00000028781756
152,324.676942148089,0.00000110891574,0.0000002790698
153,322.910375410646,0.00000095234252,0.000000291465
154,325.254810619815,0.00000087088726,0.00000028806648
155,331.640988964846,0.0000012410567,0.00000029255974
156,323.107920933156,0.0000009463913,0.00000028784042
157,321.493038553236,0.00000071252334,0.00000030183836
158,324.003481393572,0.0000009782937,0.0000002846324
159,315.307608450288,0.00000087267034,0.00000027354022
160,316.102728066338,0.00000092674694,0.00000029948886
161,326.911595247474,0.00000120297702,0.00000031736792
162,328.097001829186,0.00000117532404,0.00000029827982
163,326.263000051858,0.0000013240258,0.00000029355542
164,321.205727918267,0.0000011531346,0.00000028386024
165,317.436660768218,0.00000081378044,0.00000029633418
166,319.751515303559,0.00000113985802,0.00000028687522
167,323.389093022278,0.0000009293352,0.00000031131002
168,323.629252507987,0.00000115862608,0.00000031179516
169,323.696865476737,0.00000129737358,0.0000003216275
170,322.046174912709,0.00000097999804,0.0000003297936
171,323.025317457519,0.00000100900484,0.00000030536896
172,326.750792035612,0.00000145537682,0.00000028903422
173,322.97398497993,0.00000119583708,0.00000029849572
174,322.619995502753,0.00000078469998,0.00000033956752
175,322.161294888448,0.0000013357479,0.00000031672784
176,314.966874673564,0.0000011949303,0.00000032714692
177,324.44096399071,0.00000116496592,0.00000034781998
178,322.637299084887,0.00000124632212,0.00000032772604
179,331.378143548833,0.00000142615666,0.00000031504636
180,326.268471364461,0.00000114706146,0.00000031795212
181,316.697588744684,0.00000097094802,0.00000033458658
182,322.750417360894,0.00000114693954,0.0000003441192
183,322.041103940053,0.00000117419374,0.0000003447923
184,325.471705906409,0.0000011110976,0.00000035400996
185,321.790224240219,0.00000123927108,0.00000035222434
186,325.410854234534,0.00000112413542,0.0000003374771
187,325.849893709243,0.00000111627666,0.00000032568388
188,318.551029250527,0.00000132141214,0.00000035130486
189,328.75422657476,0.00000150139146,0.00000035273996
190,325.660532914528,0.00000120950482,0.00000036145216
191,326.142052905786,0.00000133067044,0.00000035481514
192,323.028386730443,0.00000149725634,0.00000034751518
193,325.141158557213,0.00000157950662,0.0000003288792
194,324.231942056399,0.00000104561132,0.00000034374836
195,323.079007492573,0.00000121340626,0.00000035113976
196,319.666020483865,0.00000114089688,0.00000035383216
197,333.868080087463,0.00000107930442,0.00000035864038
198,319.389252134155,0.00000086698328,0.00000039049706
199,319.561798651115,0.00000131957318,0.00000035690556
200,321.083446305707,0.00000125016768,0.00000035743896
201,326.265668984835,0.00000111756952,0.00000033638236
202,320.938879102788,0.00000125079506,0.00000032924242
203,325.543856061219,0.00000112687608,0.0000003542919
204,318.875838393822,0.00000093347286,0.0000003672332
205,322.18807318265,0.00000151853392,0.00000035148266
206,322.755310404685,0.00000109590332,0.00000037609018
207,328.741015356524,0.0000014538833,0.00000034565844
208,325.51632156934,0.0000016785336,0.00000034068004
209,320.669939623144,0.0000013715492,0.0000003346831
210,323.04026348219,0.00000132988558,0.00000034938208
211,324.844906996772,0.00000125232668,0.00000036514024
212,326.257484257039,0.00000128570228,0.00000036566094
213,323.482105336525,0.00000124910596,0.00000037830252
214,319.083525861645,0.00000137354056,0.00000034589466
215,321.284950745466,0.00000134511542,0.00000034973514
216,322.843741050654,0.00000099675442,0.00000035818826
217,322.428721972739,0.00000114926872,0.00000038593014
218,325.528687625467,0.00000133797294,0.00000036701984
219,323.498652720982,0.00000160896554,0.00000037020754
220,329.468255110527,0.0000015082774,0.00000038287198
221,332.090214867083,0.00000120919494,0.00000039705788
222,321.366620094561,0.00000138976608,0.00000038099746
223,324.446746678827,0.00000134826248,0.00000040097964
224,318.030809731103,0.0000009347327,0.00000039252652
225,324.916701293852,0.00000122548142,0.00000040612568
226,322.532321054461,0.00000143642842,0.0000003753866
227,318.747418235414,0.00000151999188,0.00000037567616
228,320.407894887024,0.00000131003294,0.00000038922452
229,320.735283998863,0.00000116766848,0.00000038717474
230,320.511049146583,0.0000012603861,0.0000004196969
231,322.357594908903,0.0000015595981,0.00000034381694
232,325.803231864362,0.00000101950012,0.0000004125087
233,327.325101930036,0.00000108498386,0.00000044324778
234,327.138943854893,0.0000015557754,0.0000004108323
235,322.520266373848,0.0000013076047,0.00000043672252
236,322.20817914441,0.00000139325096,0.00000043738546
