"PLOT"	"SPECIES"	"HEIGHT"	"STATUS"	"HEIGHT.log"	"LIGHT.log"
1	"PSYBRA"	52	1	1.7160033436348	0.0809870469108872
1	"PIPGLA"	40	1	1.60205999132796	0.0809870469108872
1	"PIPGLA"	33	0	1.51851393987789	0.0809870469108872
1	"ANDINE"	41	0	1.61278385671974	0.0809870469108872
1	"PREMON"	90	1	1.95424250943932	0.0809870469108872
1	"SLOBER"	130	1	2.11394335230684	0.0809870469108872
1	"GUAGUI"	26	1	1.41497334797082	0.0809870469108872
1	"DACEXC"	23	0	1.36172783601759	0.0809870469108872
1	"OCOSIN"	15	1	1.17609125905568	0.0809870469108872
1	"PREMON"	72	1	1.85733249643127	0.0809870469108872
1	"GUAGUI"	13.9	0	1.1430148002541	0.0809870469108872
1	"MYRSPL"	33	1	1.51851393987789	0.0809870469108872
1	"SLOBER"	15	0	1.17609125905568	0.0809870469108872
1	"SAPLAU"	12	0	1.07918124604762	0.0809870469108872
1	"GUAGUI"	15	0	1.17609125905568	0.0809870469108872
1	"PREMON"	45.4	1	1.6570558528571	0.0809870469108872
1	"PREMON"	45	1	1.65321251377534	0.0809870469108872
1	"INGVER"	20	0	1.30102999566398	0.0809870469108872
1	"PREMON"	55	1	1.74036268949424	0.0809870469108872
1	"PREMON"	44	1	1.64345267648619	0.0809870469108872
1	"GUAGLA"	26.9	1	1.42975228000241	0.0809870469108872
1	"GUAGLA"	13	0	1.11394335230684	0.0809870469108872
1	"GUAGUI"	14	0	1.14612803567824	0.0809870469108872
1	"GUAGUI"	11	0	1.04139268515822	0.0809870469108872
1	"GUAGUI"	12.5	0	1.09691001300806	0.0809870469108872
1	"OCOSIN"	22.9	0	1.35983548233989	0.0809870469108872
1	"PREMON"	80	1	1.90308998699194	0.0809870469108872
1	"GUAGLA"	22	0	1.34242268082221	0.0809870469108872
2	"PREMON"	34.5	1	1.53781909507327	0.0530784434834197
2	"DACEXC"	15	0	1.17609125905568	0.0530784434834197
2	"ANDINE"	24	0	1.38021124171161	0.0530784434834197
2	"PREMON"	29	1	1.46239799789896	0.0530784434834197
2	"PREMON"	19	1	1.27875360095283	0.0530784434834197
2	"SAPLAU"	14	0	1.14612803567824	0.0530784434834197
2	"GUAGUI"	11	0	1.04139268515822	0.0530784434834197
2	"PSYDEF"	21.9	0	1.34044411484012	0.0530784434834197
2	"PREMON"	37	0	1.56820172406699	0.0530784434834197
2	"GUAGUI"	11.2	1	1.04921802267018	0.0530784434834197
2	"TETBAL"	12	0	1.07918124604762	0.0530784434834197
2	"SAPLAU"	11	0	1.04139268515822	0.0530784434834197
2	"GUAGUI"	14	0	1.14612803567824	0.0530784434834197
3	"TETBAL"	18.2	0	1.26007138798507	0.0813473078041325
3	"MANBID"	17	1	1.23044892137827	0.0813473078041325
3	"SCHMOR"	23.5	1	1.37106786227174	0.0813473078041325
3	"MYRLEP"	39	1	1.5910646070265	0.0813473078041325
3	"ALCFLO"	14	0	1.14612803567824	0.0813473078041325
3	"TETBAL"	21.9	0	1.34044411484012	0.0813473078041325
3	"EUGSTA"	30	1	1.47712125471966	0.0813473078041325
3	"MICPRA"	35.8	1	1.55388302664387	0.0813473078041325
3	"TETBAL"	32	1	1.50514997831991	0.0813473078041325
3	"EUGSTA"	12	1	1.07918124604762	0.0813473078041325
3	"MYRLEP"	133	1	2.12385164096709	0.0813473078041325
3	"PREMON"	11.5	0	1.06069784035361	0.0813473078041325
3	"ALCFLO"	12	1	1.07918124604762	0.0813473078041325
3	"MANBID"	11.2	1	1.04921802267018	0.0813473078041325
3	"MYRLEP"	30.2	1	1.48000694295715	0.0813473078041325
3	"MYRLEP"	35	1	1.54406804435028	0.0813473078041325
3	"ROYBOR"	30	0	1.47712125471966	0.0813473078041325
3	"SCHMOR"	20	1	1.30102999566398	0.0813473078041325
3	"SCHMOR"	28	1	1.44715803134222	0.0813473078041325
3	"SCHMOR"	14	1	1.14612803567824	0.0813473078041325
3	"MANBID"	13	1	1.11394335230684	0.0813473078041325
3	"MANBID"	11.5	1	1.06069784035361	0.0813473078041325
3	"MANBID"	10.2	1	1.00860017176192	0.0813473078041325
3	"GUAGUI"	11	1	1.04139268515822	0.0813473078041325
3	"CASARB"	10.5	1	1.02118929906994	0.0813473078041325
3	"SCHMOR"	16.5	1	1.21748394421391	0.0813473078041325
3	"PREMON"	22	1	1.34242268082221	0.0813473078041325
3	"GUAGUI"	10.2	0	1.00860017176192	0.0813473078041325
3	"SCHMOR"	11	0	1.04139268515822	0.0813473078041325
3	"TETBAL"	11.1	0	1.04532297878666	0.0813473078041325
3	"TETBAL"	14.5	1	1.16136800223497	0.0813473078041325
3	"MYRLEP"	14	1	1.14612803567824	0.0813473078041325
4	"PREMON"	40	1	1.60205999132796	0.0715138050950892
4	"PREMON"	55	1	1.74036268949424	0.0715138050950892
4	"PREMON"	37	1	1.56820172406699	0.0715138050950892
4	"PREMON"	24	1	1.38021124171161	0.0715138050950892
4	"PREMON"	43	1	1.63346845557959	0.0715138050950892
4	"GUAGUI"	14	1	1.14612803567824	0.0715138050950892
4	"GUAGUI"	12	0	1.07918124604762	0.0715138050950892
4	"PREMON"	40	1	1.60205999132796	0.0715138050950892
4	"PREMON"	30	0	1.47712125471966	0.0715138050950892
4	"GUAGUI"	16	0	1.20411998265592	0.0715138050950892
4	"PREMON"	11	0	1.04139268515822	0.0715138050950892
4	"PREMON"	26	1	1.41497334797082	0.0715138050950892
4	"PREMON"	52	1	1.7160033436348	0.0715138050950892
