"Month"	"Temperature"	"Year"	"nMonth"	"Date"	"Time"
"3623"	"Nov"	7	1711	11	"1711-11-15"	-94.28
"54"	"Jan"	3	1712	1	"1712-01-15"	-94.219
"411"	"Feb"	4.5	1712	2	"1712-02-15"	-94.188
"1125"	"Apr"	7.5	1712	4	"1712-04-15"	-94.128
"1839"	"Jun"	15	1712	6	"1712-06-15"	-94.067
"2196"	"Jul"	16	1712	7	"1712-07-15"	-94.037
"2553"	"Aug"	15	1712	8	"1712-08-15"	-94.006
"2910"	"Sep"	13	1712	9	"1712-09-15"	-93.975
"3624"	"Nov"	6	1712	11	"1712-11-15"	-93.914
"55"	"Jan"	3	1713	1	"1713-01-15"	-93.853
"412"	"Feb"	5.5	1713	2	"1713-02-15"	-93.822
"1126"	"Apr"	5.5	1713	4	"1713-04-15"	-93.763
"1840"	"Jun"	13.5	1713	6	"1713-06-15"	-93.702
"2197"	"Jul"	14	1713	7	"1713-07-15"	-93.672
"2554"	"Aug"	15	1713	8	"1713-08-15"	-93.641
"2911"	"Sep"	14	1713	9	"1713-09-15"	-93.61
"3625"	"Nov"	4.5	1713	11	"1713-11-15"	-93.549
"56"	"Jan"	4	1714	1	"1714-01-15"	-93.488
"413"	"Feb"	5.5	1714	2	"1714-02-15"	-93.457
"1127"	"Apr"	7.5	1714	4	"1714-04-15"	-93.398
"1841"	"Jun"	14.5	1714	6	"1714-06-15"	-93.337
"2198"	"Jul"	18	1714	7	"1714-07-15"	-93.307
"2555"	"Aug"	15	1714	8	"1714-08-15"	-93.276
"2912"	"Sep"	13	1714	9	"1714-09-15"	-93.245
"3626"	"Nov"	6	1714	11	"1714-11-15"	-93.184
"57"	"Jan"	4	1715	1	"1715-01-15"	-93.123
"414"	"Feb"	5	1715	2	"1715-02-15"	-93.092
"1128"	"Apr"	9.5	1715	4	"1715-04-15"	-93.033
"1842"	"Jun"	14	1715	6	"1715-06-15"	-92.972
"2199"	"Jul"	15.5	1715	7	"1715-07-15"	-92.942
"2556"	"Aug"	15	1715	8	"1715-08-15"	-92.911
"2913"	"Sep"	14	1715	9	"1715-09-15"	-92.88
"3627"	"Nov"	6.5	1715	11	"1715-11-15"	-92.819
"58"	"Jan"	-2	1716	1	"1716-01-15"	-92.758
"415"	"Feb"	3	1716	2	"1716-02-15"	-92.727
"1129"	"Apr"	9	1716	4	"1716-04-15"	-92.667
"1843"	"Jun"	14	1716	6	"1716-06-15"	-92.606
"2200"	"Jul"	15.5	1716	7	"1716-07-15"	-92.576
"2557"	"Aug"	15.5	1716	8	"1716-08-15"	-92.545
"2914"	"Sep"	12.5	1716	9	"1716-09-15"	-92.514
"3628"	"Nov"	5.5	1716	11	"1716-11-15"	-92.453
"59"	"Jan"	4.5	1717	1	"1717-01-15"	-92.392
"416"	"Feb"	2.5	1717	2	"1717-02-15"	-92.361
"1130"	"Apr"	7.5	1717	4	"1717-04-15"	-92.302
"1844"	"Jun"	14	1717	6	"1717-06-15"	-92.241
"2201"	"Jul"	15	1717	7	"1717-07-15"	-92.211
"2558"	"Aug"	15.5	1717	8	"1717-08-15"	-92.18
"2915"	"Sep"	13.5	1717	9	"1717-09-15"	-92.149
"3629"	"Nov"	5.5	1717	11	"1717-11-15"	-92.088
"60"	"Jan"	1.5	1718	1	"1718-01-15"	-92.027
"417"	"Feb"	3	1718	2	"1718-02-15"	-91.996
"1131"	"Apr"	7.5	1718	4	"1718-04-15"	-91.937
"1845"	"Jun"	14.5	1718	6	"1718-06-15"	-91.876
"2202"	"Jul"	17	1718	7	"1718-07-15"	-91.846
"2559"	"Aug"	17	1718	8	"1718-08-15"	-91.815
"2916"	"Sep"	14.5	1718	9	"1718-09-15"	-91.784
"3630"	"Nov"	5.5	1718	11	"1718-11-15"	-91.723
"61"	"Jan"	3	1719	1	"1719-01-15"	-91.662
"418"	"Feb"	4	1719	2	"1719-02-15"	-91.631
"1132"	"Apr"	7	1719	4	"1719-04-15"	-91.572
"1846"	"Jun"	15	1719	6	"1719-06-15"	-91.511
"2203"	"Jul"	18	1719	7	"1719-07-15"	-91.481
"2560"	"Aug"	17	1719	8	"1719-08-15"	-91.45
"2917"	"Sep"	14	1719	9	"1719-09-15"	-91.419
"3631"	"Nov"	6	1719	11	"1719-11-15"	-91.358
"62"	"Jan"	4.5	1720	1	"1720-01-15"	-91.297
"419"	"Feb"	4	1720	2	"1720-02-15"	-91.266
"1133"	"Apr"	7.5	1720	4	"1720-04-15"	-91.206
"1847"	"Jun"	13	1720	6	"1720-06-15"	-91.145
"2204"	"Jul"	16	1720	7	"1720-07-15"	-91.115
"2561"	"Aug"	15	1720	8	"1720-08-15"	-91.084
"2918"	"Sep"	13.5	1720	9	"1720-09-15"	-91.053
"3632"	"Nov"	6	1720	11	"1720-11-15"	-90.992
"63"	"Jan"	4	1721	1	"1721-01-15"	-90.931
"420"	"Feb"	2	1721	2	"1721-02-15"	-90.9
"1134"	"Apr"	8.5	1721	4	"1721-04-15"	-90.841
"1848"	"Jun"	14	1721	6	"1721-06-15"	-90.78
"2205"	"Jul"	15.5	1721	7	"1721-07-15"	-90.75
"2562"	"Aug"	16	1721	8	"1721-08-15"	-90.719
"2919"	"Sep"	14	1721	9	"1721-09-15"	-90.688
"3633"	"Nov"	6	1721	11	"1721-11-15"	-90.627
"64"	"Jan"	4	1722	1	"1722-01-15"	-90.566
"421"	"Feb"	5	1722	2	"1722-02-15"	-90.535
"1135"	"Apr"	7.5	1722	4	"1722-04-15"	-90.476
"1849"	"Jun"	14	1722	6	"1722-06-15"	-90.415
"2206"	"Jul"	15	1722	7	"1722-07-15"	-90.385
"2563"	"Aug"	15	1722	8	"1722-08-15"	-90.354
"2920"	"Sep"	13.5	1722	9	"1722-09-15"	-90.323
"3634"	"Nov"	7.8	1722	11	"1722-11-15"	-90.262
"65"	"Jan"	1.1	1723	1	"1723-01-15"	-90.201
"422"	"Feb"	4.4	1723	2	"1723-02-15"	-90.17
"1136"	"Apr"	8.9	1723	4	"1723-04-15"	-90.111
"1850"	"Jun"	15	1723	6	"1723-06-15"	-90.05
"2207"	"Jul"	15.3	1723	7	"1723-07-15"	-90.02
"2564"	"Aug"	15.6	1723	8	"1723-08-15"	-89.989
"2921"	"Sep"	13.3	1723	9	"1723-09-15"	-89.958
"3635"	"Nov"	7.5	1723	11	"1723-11-15"	-89.897
"66"	"Jan"	5.6	1724	1	"1724-01-15"	-89.836
"423"	"Feb"	4.2	1724	2	"1724-02-15"	-89.805
"1137"	"Apr"	7.2	1724	4	"1724-04-15"	-89.745
"1851"	"Jun"	15.3	1724	6	"1724-06-15"	-89.684
"2208"	"Jul"	15	1724	7	"1724-07-15"	-89.654
"2565"	"Aug"	16.2	1724	8	"1724-08-15"	-89.623
"2922"	"Sep"	14.4	1724	9	"1724-09-15"	-89.592
"3636"	"Nov"	5.3	1724	11	"1724-11-15"	-89.531
"67"	"Jan"	4.4	1725	1	"1725-01-15"	-89.47
"424"	"Feb"	3.3	1725	2	"1725-02-15"	-89.439
"1138"	"Apr"	8.1	1725	4	"1725-04-15"	-89.38
"1852"	"Jun"	12.2	1725	6	"1725-06-15"	-89.319
"2209"	"Jul"	13.8	1725	7	"1725-07-15"	-89.289
"2566"	"Aug"	13.3	1725	8	"1725-08-15"	-89.258
"2923"	"Sep"	12.8	1725	9	"1725-09-15"	-89.227
"3637"	"Nov"	6.9	1725	11	"1725-11-15"	-89.166
"68"	"Jan"	1.1	1726	1	"1726-01-15"	-89.105
"425"	"Feb"	4.2	1726	2	"1726-02-15"	-89.074
"1139"	"Apr"	8.4	1726	4	"1726-04-15"	-89.015
"1853"	"Jun"	16.4	1726	6	"1726-06-15"	-88.954
"2210"	"Jul"	16	1726	7	"1726-07-15"	-88.924
"2567"	"Aug"	15.6	1726	8	"1726-08-15"	-88.893
"2924"	"Sep"	14.7	1726	9	"1726-09-15"	-88.862
"3638"	"Nov"	6.1	1726	11	"1726-11-15"	-88.801
"69"	"Jan"	4.2	1727	1	"1727-01-15"	-88.74
"426"	"Feb"	5	1727	2	"1727-02-15"	-88.709
"1140"	"Apr"	9.2	1727	4	"1727-04-15"	-88.65
"1854"	"Jun"	14.9	1727	6	"1727-06-15"	-88.589
"2211"	"Jul"	16.9	1727	7	"1727-07-15"	-88.559
"2568"	"Aug"	16.9	1727	8	"1727-08-15"	-88.528
"2925"	"Sep"	14.4	1727	9	"1727-09-15"	-88.497
"3639"	"Nov"	4.7	1727	11	"1727-11-15"	-88.436
"70"	"Jan"	3.9	1728	1	"1728-01-15"	-88.375
"427"	"Feb"	2.4	1728	2	"1728-02-15"	-88.344
"1141"	"Apr"	8.3	1728	4	"1728-04-15"	-88.284
"1855"	"Jun"	16.4	1728	6	"1728-06-15"	-88.223
"2212"	"Jul"	16.9	1728	7	"1728-07-15"	-88.193
"2569"	"Aug"	16	1728	8	"1728-08-15"	-88.162
"2926"	"Sep"	12.8	1728	9	"1728-09-15"	-88.131
"3640"	"Nov"	7.2	1728	11	"1728-11-15"	-88.07
"71"	"Jan"	1.2	1729	1	"1729-01-15"	-88.009
"428"	"Feb"	2.3	1729	2	"1729-02-15"	-87.978
"1142"	"Apr"	7.1	1729	4	"1729-04-15"	-87.919
"1856"	"Jun"	15.1	1729	6	"1729-06-15"	-87.858
"2213"	"Jul"	16.8	1729	7	"1729-07-15"	-87.828
"2570"	"Aug"	15.7	1729	8	"1729-08-15"	-87.797
"2927"	"Sep"	16.6	1729	9	"1729-09-15"	-87.766
"3641"	"Nov"	8.1	1729	11	"1729-11-15"	-87.705
"72"	"Jan"	4.1	1730	1	"1730-01-15"	-87.644
"429"	"Feb"	4.7	1730	2	"1730-02-15"	-87.613
"1143"	"Apr"	8.7	1730	4	"1730-04-15"	-87.554
"1857"	"Jun"	14	1730	6	"1730-06-15"	-87.493
"2214"	"Jul"	15.3	1730	7	"1730-07-15"	-87.463
"2571"	"Aug"	16.3	1730	8	"1730-08-15"	-87.432
"2928"	"Sep"	15.3	1730	9	"1730-09-15"	-87.401
"3642"	"Nov"	9.2	1730	11	"1730-11-15"	-87.34
"73"	"Jan"	1.9	1731	1	"1731-01-15"	-87.279
"430"	"Feb"	2.2	1731	2	"1731-02-15"	-87.248
"1144"	"Apr"	6.8	1731	4	"1731-04-15"	-87.189
"1858"	"Jun"	15.6	1731	6	"1731-06-15"	-87.128
"2215"	"Jul"	16.3	1731	7	"1731-07-15"	-87.098
"2572"	"Aug"	16.7	1731	8	"1731-08-15"	-87.067
"2929"	"Sep"	15.3	1731	9	"1731-09-15"	-87.036
"3643"	"Nov"	7.8	1731	11	"1731-11-15"	-86.975
"74"	"Jan"	2.4	1732	1	"1732-01-15"	-86.914
"431"	"Feb"	6.4	1732	2	"1732-02-15"	-86.883
"1145"	"Apr"	8.9	1732	4	"1732-04-15"	-86.823
"1859"	"Jun"	14.6	1732	6	"1732-06-15"	-86.762
"2216"	"Jul"	16	1732	7	"1732-07-15"	-86.732
"2573"	"Aug"	16.6	1732	8	"1732-08-15"	-86.701
"2930"	"Sep"	14.5	1732	9	"1732-09-15"	-86.67
"3644"	"Nov"	6.3	1732	11	"1732-11-15"	-86.609
"75"	"Jan"	6.9	1733	1	"1733-01-15"	-86.548
"432"	"Feb"	6	1733	2	"1733-02-15"	-86.517
"1146"	"Apr"	10	1733	4	"1733-04-15"	-86.458
"1860"	"Jun"	15.2	1733	6	"1733-06-15"	-86.397
"2217"	"Jul"	18.3	1733	7	"1733-07-15"	-86.367
"2574"	"Aug"	16.1	1733	8	"1733-08-15"	-86.336
"2931"	"Sep"	12.8	1733	9	"1733-09-15"	-86.305
"3645"	"Nov"	6.5	1733	11	"1733-11-15"	-86.244
"76"	"Jan"	4.3	1734	1	"1734-01-15"	-86.183
"433"	"Feb"	6.4	1734	2	"1734-02-15"	-86.152
"1147"	"Apr"	9.3	1734	4	"1734-04-15"	-86.093
"1861"	"Jun"	14.1	1734	6	"1734-06-15"	-86.032
"2218"	"Jul"	16.2	1734	7	"1734-07-15"	-86.002
"2575"	"Aug"	16.2	1734	8	"1734-08-15"	-85.971
"2932"	"Sep"	13.3	1734	9	"1734-09-15"	-85.94
"3646"	"Nov"	6.2	1734	11	"1734-11-15"	-85.879
"77"	"Jan"	4.4	1735	1	"1735-01-15"	-85.818
"434"	"Feb"	4	1735	2	"1735-02-15"	-85.787
"1148"	"Apr"	8.9	1735	4	"1735-04-15"	-85.728
"1862"	"Jun"	13.3	1735	6	"1735-06-15"	-85.667
"2219"	"Jul"	14.8	1735	7	"1735-07-15"	-85.637
"2576"	"Aug"	16.2	1735	8	"1735-08-15"	-85.606
"2933"	"Sep"	14.2	1735	9	"1735-09-15"	-85.575
"3647"	"Nov"	6.3	1735	11	"1735-11-15"	-85.514
"78"	"Jan"	6.4	1736	1	"1736-01-15"	-85.453
"435"	"Feb"	3.1	1736	2	"1736-02-15"	-85.422
"1149"	"Apr"	8.6	1736	4	"1736-04-15"	-85.362
"1863"	"Jun"	15.7	1736	6	"1736-06-15"	-85.301
"2220"	"Jul"	16.4	1736	7	"1736-07-15"	-85.271
"2577"	"Aug"	17.8	1736	8	"1736-08-15"	-85.24
"2934"	"Sep"	14.4	1736	9	"1736-09-15"	-85.209
"3648"	"Nov"	6.9	1736	11	"1736-11-15"	-85.148
"79"	"Jan"	6.2	1737	1	"1737-01-15"	-85.087
"436"	"Feb"	4.2	1737	2	"1737-02-15"	-85.056
"1150"	"Apr"	8.8	1737	4	"1737-04-15"	-84.997
"1864"	"Jun"	15.9	1737	6	"1737-06-15"	-84.936
"2221"	"Jul"	17.4	1737	7	"1737-07-15"	-84.906
"2578"	"Aug"	13.8	1737	8	"1737-08-15"	-84.875
"2935"	"Sep"	14.2	1737	9	"1737-09-15"	-84.844
"3649"	"Nov"	6.1	1737	11	"1737-11-15"	-84.783
"80"	"Jan"	4.6	1738	1	"1738-01-15"	-84.722
"437"	"Feb"	4.6	1738	2	"1738-02-15"	-84.691
"1151"	"Apr"	9.9	1738	4	"1738-04-15"	-84.632
"1865"	"Jun"	14.2	1738	6	"1738-06-15"	-84.571
"2222"	"Jul"	16.4	1738	7	"1738-07-15"	-84.541
"2579"	"Aug"	16	1738	8	"1738-08-15"	-84.51
"2936"	"Sep"	12.5	1738	9	"1738-09-15"	-84.479
"3650"	"Nov"	6.3	1738	11	"1738-11-15"	-84.418
"81"	"Jan"	4	1739	1	"1739-01-15"	-84.357
"438"	"Feb"	6.8	1739	2	"1739-02-15"	-84.326
"1152"	"Apr"	6.7	1739	4	"1739-04-15"	-84.267
"1866"	"Jun"	15.2	1739	6	"1739-06-15"	-84.206
"2223"	"Jul"	16	1739	7	"1739-07-15"	-84.176
"2580"	"Aug"	14.7	1739	8	"1739-08-15"	-84.145
"2937"	"Sep"	13.1	1739	9	"1739-09-15"	-84.114
"3651"	"Nov"	3.7	1739	11	"1739-11-15"	-84.053
"82"	"Jan"	-2.8	1740	1	"1740-01-15"	-83.992
"439"	"Feb"	-1.6	1740	2	"1740-02-15"	-83.961
"1153"	"Apr"	6.4	1740	4	"1740-04-15"	-83.901
"1867"	"Jun"	12.8	1740	6	"1740-06-15"	-83.84
"2224"	"Jul"	15.3	1740	7	"1740-07-15"	-83.81
"2581"	"Aug"	14.7	1740	8	"1740-08-15"	-83.779
"2938"	"Sep"	14	1740	9	"1740-09-15"	-83.748
"3652"	"Nov"	3.3	1740	11	"1740-11-15"	-83.687
"83"	"Jan"	1.7	1741	1	"1741-01-15"	-83.626
"440"	"Feb"	4.4	1741	2	"1741-02-15"	-83.595
"1154"	"Apr"	7.1	1741	4	"1741-04-15"	-83.536
"1868"	"Jun"	15.2	1741	6	"1741-06-15"	-83.475
"2225"	"Jul"	15.6	1741	7	"1741-07-15"	-83.445
"2582"	"Aug"	16.7	1741	8	"1741-08-15"	-83.414
"2939"	"Sep"	14.7	1741	9	"1741-09-15"	-83.383
"3653"	"Nov"	7.8	1741	11	"1741-11-15"	-83.322
"84"	"Jan"	1.9	1742	1	"1742-01-15"	-83.261
"441"	"Feb"	3.6	1742	2	"1742-02-15"	-83.23
"1155"	"Apr"	6.6	1742	4	"1742-04-15"	-83.171
"1869"	"Jun"	15	1742	6	"1742-06-15"	-83.11
"2226"	"Jul"	15.8	1742	7	"1742-07-15"	-83.08
"2583"	"Aug"	15.8	1742	8	"1742-08-15"	-83.049
"2940"	"Sep"	12.2	1742	9	"1742-09-15"	-83.018
"3654"	"Nov"	4.4	1742	11	"1742-11-15"	-82.957
"85"	"Jan"	3.6	1743	1	"1743-01-15"	-82.896
"442"	"Feb"	5.4	1743	2	"1743-02-15"	-82.865
"1156"	"Apr"	5.4	1743	4	"1743-04-15"	-82.806
"1870"	"Jun"	15.6	1743	6	"1743-06-15"	-82.745
"2227"	"Jul"	14.9	1743	7	"1743-07-15"	-82.715
"2584"	"Aug"	16.9	1743	8	"1743-08-15"	-82.684
"2941"	"Sep"	14.2	1743	9	"1743-09-15"	-82.653
"3655"	"Nov"	9.3	1743	11	"1743-11-15"	-82.592
"86"	"Jan"	1.4	1744	1	"1744-01-15"	-82.531
"443"	"Feb"	2.9	1744	2	"1744-02-15"	-82.5
"1157"	"Apr"	6.7	1744	4	"1744-04-15"	-82.44
"1871"	"Jun"	14.4	1744	6	"1744-06-15"	-82.379
"2228"	"Jul"	16.4	1744	7	"1744-07-15"	-82.349
"2585"	"Aug"	15.4	1744	8	"1744-08-15"	-82.318
"2942"	"Sep"	12.8	1744	9	"1744-09-15"	-82.287
"3656"	"Nov"	6.9	1744	11	"1744-11-15"	-82.226
"87"	"Jan"	3.8	1745	1	"1745-01-15"	-82.165
"444"	"Feb"	2.3	1745	2	"1745-02-15"	-82.134
"1158"	"Apr"	7.5	1745	4	"1745-04-15"	-82.075
"1872"	"Jun"	12.2	1745	6	"1745-06-15"	-82.014
"2229"	"Jul"	16.1	1745	7	"1745-07-15"	-81.984
"2586"	"Aug"	15	1745	8	"1745-08-15"	-81.953
"2943"	"Sep"	14.2	1745	9	"1745-09-15"	-81.922
"3657"	"Nov"	5.8	1745	11	"1745-11-15"	-81.861
"88"	"Jan"	2.5	1746	1	"1746-01-15"	-81.8
"445"	"Feb"	1.4	1746	2	"1746-02-15"	-81.769
"1159"	"Apr"	6.9	1746	4	"1746-04-15"	-81.71
"1873"	"Jun"	14.3	1746	6	"1746-06-15"	-81.649
"2230"	"Jul"	15.8	1746	7	"1746-07-15"	-81.619
"2587"	"Aug"	15.9	1746	8	"1746-08-15"	-81.588
"2944"	"Sep"	14.2	1746	9	"1746-09-15"	-81.557
"3658"	"Nov"	3.3	1746	11	"1746-11-15"	-81.496
"89"	"Jan"	3.3	1747	1	"1747-01-15"	-81.435
"446"	"Feb"	5.8	1747	2	"1747-02-15"	-81.404
"1160"	"Apr"	8.1	1747	4	"1747-04-15"	-81.345
"1874"	"Jun"	14.7	1747	6	"1747-06-15"	-81.284
"2231"	"Jul"	16.9	1747	7	"1747-07-15"	-81.254
"2588"	"Aug"	18.3	1747	8	"1747-08-15"	-81.223
"2945"	"Sep"	14.4	1747	9	"1747-09-15"	-81.192
"3659"	"Nov"	6.9	1747	11	"1747-11-15"	-81.131
"90"	"Jan"	2.5	1748	1	"1748-01-15"	-81.07
"447"	"Feb"	1.8	1748	2	"1748-02-15"	-81.039
"1161"	"Apr"	6.3	1748	4	"1748-04-15"	-80.979
"1875"	"Jun"	14.8	1748	6	"1748-06-15"	-80.918
"2232"	"Jul"	15.4	1748	7	"1748-07-15"	-80.888
"2589"	"Aug"	15.8	1748	8	"1748-08-15"	-80.857
"2946"	"Sep"	14.2	1748	9	"1748-09-15"	-80.826
"3660"	"Nov"	7.1	1748	11	"1748-11-15"	-80.765
"91"	"Jan"	5.3	1749	1	"1749-01-15"	-80.704
"448"	"Feb"	3.6	1749	2	"1749-02-15"	-80.673
"1162"	"Apr"	6.8	1749	4	"1749-04-15"	-80.614
"1876"	"Jun"	11.9	1749	6	"1749-06-15"	-80.553
"2233"	"Jul"	17.2	1749	7	"1749-07-15"	-80.523
"2590"	"Aug"	15.6	1749	8	"1749-08-15"	-80.492
"2947"	"Sep"	13.8	1749	9	"1749-09-15"	-80.461
"3661"	"Nov"	6.7	1749	11	"1749-11-15"	-80.4
"92"	"Jan"	4	1750	1	"1750-01-15"	-80.339
"449"	"Feb"	6.7	1750	2	"1750-02-15"	-80.308
"1163"	"Apr"	7.7	1750	4	"1750-04-15"	-80.249
"1877"	"Jun"	14.2	1750	6	"1750-06-15"	-80.188
"2234"	"Jul"	17.2	1750	7	"1750-07-15"	-80.158
"2591"	"Aug"	15	1750	8	"1750-08-15"	-80.127
"2948"	"Sep"	15.2	1750	9	"1750-09-15"	-80.096
"3662"	"Nov"	4	1750	11	"1750-11-15"	-80.035
"93"	"Jan"	4	1751	1	"1751-01-15"	-79.974
"450"	"Feb"	1.5	1751	2	"1751-02-15"	-79.943
"1164"	"Apr"	7.1	1751	4	"1751-04-15"	-79.884
"1878"	"Jun"	14.9	1751	6	"1751-06-15"	-79.823
"2235"	"Jul"	15.3	1751	7	"1751-07-15"	-79.793
"2592"	"Aug"	14.6	1751	8	"1751-08-15"	-79.762
"2949"	"Sep"	12.6	1751	9	"1751-09-15"	-79.731
"3663"	"Nov"	4.3	1751	11	"1751-11-15"	-79.67
"94"	"Jan"	3.2	1752	1	"1752-01-15"	-79.609
"451"	"Feb"	3.1	1752	2	"1752-02-15"	-79.578
"1165"	"Apr"	6.8	1752	4	"1752-04-15"	-79.518
"1879"	"Jun"	14.8	1752	6	"1752-06-15"	-79.457
"2236"	"Jul"	15.6	1752	7	"1752-07-15"	-79.427
"2593"	"Aug"	15.7	1752	8	"1752-08-15"	-79.396
"2950"	"Sep"	13.9	1752	9	"1752-09-15"	-79.365
"3664"	"Nov"	6.5	1752	11	"1752-11-15"	-79.304
"95"	"Jan"	2.2	1753	1	"1753-01-15"	-79.243
"452"	"Feb"	3.6	1753	2	"1753-02-15"	-79.212
"1166"	"Apr"	7.5	1753	4	"1753-04-15"	-79.153
"1880"	"Jun"	14.6	1753	6	"1753-06-15"	-79.092
"2237"	"Jul"	15.2	1753	7	"1753-07-15"	-79.062
"2594"	"Aug"	15.7	1753	8	"1753-08-15"	-79.031
"2951"	"Sep"	13.1	1753	9	"1753-09-15"	-79
"3665"	"Nov"	4.6	1753	11	"1753-11-15"	-78.939
"96"	"Jan"	3.3	1754	1	"1754-01-15"	-78.878
"453"	"Feb"	2.8	1754	2	"1754-02-15"	-78.847
"1167"	"Apr"	6.7	1754	4	"1754-04-15"	-78.788
"1881"	"Jun"	13.6	1754	6	"1754-06-15"	-78.727
"2238"	"Jul"	14.7	1754	7	"1754-07-15"	-78.697
"2595"	"Aug"	15.7	1754	8	"1754-08-15"	-78.666
"2952"	"Sep"	13.9	1754	9	"1754-09-15"	-78.635
"3666"	"Nov"	5.7	1754	11	"1754-11-15"	-78.574
"97"	"Jan"	2.2	1755	1	"1755-01-15"	-78.513
"454"	"Feb"	1.2	1755	2	"1755-02-15"	-78.482
"1168"	"Apr"	10	1755	4	"1755-04-15"	-78.423
"1882"	"Jun"	15.7	1755	6	"1755-06-15"	-78.362
"2239"	"Jul"	15	1755	7	"1755-07-15"	-78.332
"2596"	"Aug"	14.6	1755	8	"1755-08-15"	-78.301
"2953"	"Sep"	13.5	1755	9	"1755-09-15"	-78.27
"3667"	"Nov"	4.7	1755	11	"1755-11-15"	-78.209
"98"	"Jan"	4.4	1756	1	"1756-01-15"	-78.148
"455"	"Feb"	4.6	1756	2	"1756-02-15"	-78.117
"1169"	"Apr"	6.7	1756	4	"1756-04-15"	-78.057
"1883"	"Jun"	13.8	1756	6	"1756-06-15"	-77.996
"2240"	"Jul"	16.1	1756	7	"1756-07-15"	-77.966
"2597"	"Aug"	14.7	1756	8	"1756-08-15"	-77.935
"2954"	"Sep"	13.6	1756	9	"1756-09-15"	-77.904
"3668"	"Nov"	3.9	1756	11	"1756-11-15"	-77.843
"99"	"Jan"	0.3	1757	1	"1757-01-15"	-77.782
"456"	"Feb"	4	1757	2	"1757-02-15"	-77.751
"1170"	"Apr"	8.1	1757	4	"1757-04-15"	-77.692
"1884"	"Jun"	14	1757	6	"1757-06-15"	-77.631
"2241"	"Jul"	18.4	1757	7	"1757-07-15"	-77.601
"2598"	"Aug"	15.2	1757	8	"1757-08-15"	-77.57
"2955"	"Sep"	13.3	1757	9	"1757-09-15"	-77.539
"3669"	"Nov"	7.1	1757	11	"1757-11-15"	-77.478
"100"	"Jan"	2.6	1758	1	"1758-01-15"	-77.417
"457"	"Feb"	3.8	1758	2	"1758-02-15"	-77.386
"1171"	"Apr"	7.2	1758	4	"1758-04-15"	-77.327
"1885"	"Jun"	14.6	1758	6	"1758-06-15"	-77.266
"2242"	"Jul"	14.2	1758	7	"1758-07-15"	-77.236
"2599"	"Aug"	16.4	1758	8	"1758-08-15"	-77.205
"2956"	"Sep"	11.9	1758	9	"1758-09-15"	-77.174
"3670"	"Nov"	5.7	1758	11	"1758-11-15"	-77.113
"101"	"Jan"	5.9	1759	1	"1759-01-15"	-77.052
"458"	"Feb"	5.8	1759	2	"1759-02-15"	-77.021
"1172"	"Apr"	8.6	1759	4	"1759-04-15"	-76.962
"1886"	"Jun"	15	1759	6	"1759-06-15"	-76.901
"2243"	"Jul"	18.2	1759	7	"1759-07-15"	-76.871
"2600"	"Aug"	16.3	1759	8	"1759-08-15"	-76.84
"2957"	"Sep"	13.5	1759	9	"1759-09-15"	-76.809
"3671"	"Nov"	5.1	1759	11	"1759-11-15"	-76.748
"102"	"Jan"	1.9	1760	1	"1760-01-15"	-76.687
"459"	"Feb"	3.8	1760	2	"1760-02-15"	-76.656
"1173"	"Apr"	9.4	1760	4	"1760-04-15"	-76.596
"1887"	"Jun"	15.2	1760	6	"1760-06-15"	-76.535
"2244"	"Jul"	16.9	1760	7	"1760-07-15"	-76.505
"2601"	"Aug"	15.8	1760	8	"1760-08-15"	-76.474
"2958"	"Sep"	15.7	1760	9	"1760-09-15"	-76.443
"3672"	"Nov"	5.7	1760	11	"1760-11-15"	-76.382
"103"	"Jan"	5.4	1761	1	"1761-01-15"	-76.321
"460"	"Feb"	5.8	1761	2	"1761-02-15"	-76.29
"1174"	"Apr"	9.4	1761	4	"1761-04-15"	-76.231
"1888"	"Jun"	14.3	1761	6	"1761-06-15"	-76.17
"2245"	"Jul"	15.8	1761	7	"1761-07-15"	-76.14
"2602"	"Aug"	16.4	1761	8	"1761-08-15"	-76.109
"2959"	"Sep"	14.2	1761	9	"1761-09-15"	-76.078
"3673"	"Nov"	6.2	1761	11	"1761-11-15"	-76.017
"104"	"Jan"	4.7	1762	1	"1762-01-15"	-75.956
"461"	"Feb"	4	1762	2	"1762-02-15"	-75.925
"1175"	"Apr"	10	1762	4	"1762-04-15"	-75.866
"1889"	"Jun"	16.9	1762	6	"1762-06-15"	-75.805
"2246"	"Jul"	17.8	1762	7	"1762-07-15"	-75.775
"2603"	"Aug"	15.3	1762	8	"1762-08-15"	-75.744
"2960"	"Sep"	13.6	1762	9	"1762-09-15"	-75.713
"3674"	"Nov"	4.6	1762	11	"1762-11-15"	-75.652
"105"	"Jan"	-0.8	1763	1	"1763-01-15"	-75.591
"462"	"Feb"	4.9	1763	2	"1763-02-15"	-75.56
"1176"	"Apr"	8.9	1763	4	"1763-04-15"	-75.501
"1890"	"Jun"	14.6	1763	6	"1763-06-15"	-75.44
"2247"	"Jul"	15.3	1763	7	"1763-07-15"	-75.41
"2604"	"Aug"	15.3	1763	8	"1763-08-15"	-75.379
"2961"	"Sep"	13.1	1763	9	"1763-09-15"	-75.348
"3675"	"Nov"	5.8	1763	11	"1763-11-15"	-75.287
"106"	"Jan"	3.7	1764	1	"1764-01-15"	-75.226
