"Month"	"Temperature"	"Year"	"nMonth"	"Date"	"Time"
"1798"	"Jun"	13.5	1671	6	"1671-06-15"	-109.042
"2155"	"Jul"	16	1671	7	"1671-07-15"	-109.012
"2512"	"Aug"	15.5	1671	8	"1671-08-15"	-108.981
"2869"	"Sep"	13.5	1671	9	"1671-09-15"	-108.95
"3583"	"Nov"	6	1671	11	"1671-11-15"	-108.889
"14"	"Jan"	1.5	1672	1	"1672-01-15"	-108.828
"371"	"Feb"	1.5	1672	2	"1672-02-15"	-108.797
"1085"	"Apr"	7	1672	4	"1672-04-15"	-108.737
"1799"	"Jun"	16	1672	6	"1672-06-15"	-108.676
"2156"	"Jul"	15	1672	7	"1672-07-15"	-108.646
"2513"	"Aug"	14	1672	8	"1672-08-15"	-108.615
"2870"	"Sep"	11	1672	9	"1672-09-15"	-108.584
"3584"	"Nov"	6.5	1672	11	"1672-11-15"	-108.523
"15"	"Jan"	5	1673	1	"1673-01-15"	-108.462
"372"	"Feb"	1.5	1673	2	"1673-02-15"	-108.431
"1086"	"Apr"	7	1673	4	"1673-04-15"	-108.372
"1800"	"Jun"	14.5	1673	6	"1673-06-15"	-108.311
"2157"	"Jul"	15.5	1673	7	"1673-07-15"	-108.281
"2514"	"Aug"	15.5	1673	8	"1673-08-15"	-108.25
"2871"	"Sep"	11.5	1673	9	"1673-09-15"	-108.219
"3585"	"Nov"	5	1673	11	"1673-11-15"	-108.158
"16"	"Jan"	5	1674	1	"1674-01-15"	-108.097
"373"	"Feb"	2	1674	2	"1674-02-15"	-108.066
"1087"	"Apr"	7.5	1674	4	"1674-04-15"	-108.007
"1801"	"Jun"	13.5	1674	6	"1674-06-15"	-107.946
"2158"	"Jul"	14	1674	7	"1674-07-15"	-107.916
"2515"	"Aug"	13.5	1674	8	"1674-08-15"	-107.885
"2872"	"Sep"	10.5	1674	9	"1674-09-15"	-107.854
"3586"	"Nov"	6.5	1674	11	"1674-11-15"	-107.793
"17"	"Jan"	3	1675	1	"1675-01-15"	-107.732
"374"	"Feb"	2	1675	2	"1675-02-15"	-107.701
"1088"	"Apr"	7	1675	4	"1675-04-15"	-107.642
"1802"	"Jun"	11.5	1675	6	"1675-06-15"	-107.581
"2159"	"Jul"	15	1675	7	"1675-07-15"	-107.551
"2516"	"Aug"	14.5	1675	8	"1675-08-15"	-107.52
"2873"	"Sep"	10.5	1675	9	"1675-09-15"	-107.489
"3587"	"Nov"	4.5	1675	11	"1675-11-15"	-107.428
"18"	"Jan"	5.5	1676	1	"1676-01-15"	-107.367
"375"	"Feb"	5	1676	2	"1676-02-15"	-107.336
"1089"	"Apr"	7.5	1676	4	"1676-04-15"	-107.276
"1803"	"Jun"	18	1676	6	"1676-06-15"	-107.215
"2160"	"Jul"	16	1676	7	"1676-07-15"	-107.185
"2517"	"Aug"	16.5	1676	8	"1676-08-15"	-107.154
